Bravyi-Kitaev mapping of ethylene Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIIIIIIIIIII (-51.161025573776655+0j)
XIIIXIYIYXZIYYZIXIIIXZZI (-0.008982679698181235+0j)
XIIIXIXZYYZIYYZIXIIIXZZI (0.008982679698181235+0j)
XIIIXIYIYXZIYXZIXIIIYIII (0.008982679698181235+0j)
XIIIXIXZYYZIYXZIXIIIYIII (-0.008982679698181235+0j)
YIIIIIIIYXZIYYZIXIIIXZZI (0.005741754416066134+0j)
XZZIZIIIYYZIYYZIXIIIXZZI (-0.005741754416066134+0j)
YIIIIIIIYXZIYXZIXIIIYIII (-0.005741754416066134+0j)
XZZIZIIIYYZIYXZIXIIIYIII (0.005741754416066134+0j)
XIIIXIXYYZZIYYZIXIIIXZZI (-0.005222033001362091+0j)
XIIIXIXXXIIIXYZIYIIIXZZI (-0.005222033001362091+0j)
XIIIXIXYYZZIYXZIXIIIYIII (0.005222033001362091+0j)
XIIIXIXXXIIIXXZIYIIIYIII (0.005222033001362091+0j)
XYZIZIIIYZZIYYZIXIIIXZZI (0.008736786070073436+0j)
XXZIZIIIXIIIXYZIYIIIXZZI (0.008736786070073436+0j)
XYZIZIIIYZZIYXZIXIIIYIII (-0.008736786070073436+0j)
XXZIZIIIXIIIXXZIYIIIYIII (-0.008736786070073436+0j)
IIXYYIXXIIIIXYZIYIIIXZZI (0.007365901507019422+0j)
IIXXYIXYIIIIXYZIYIIIXZZI (-0.007365901507019422+0j)
IIXYYIXXIIIIXXZIYIIIYIII (-0.007365901507019422+0j)
IIXXYIXYIIIIXXZIYIIIYIII (0.007365901507019422+0j)
IIYIYIXZIIIIXYZIYIIIXZZI (-0.009994044722676928+0j)
IIXZYIYIIIIIXYZIYIIIXZZI (0.009994044722676928+0j)
IIYIYIXZIIIIXXZIYIIIYIII (0.009994044722676928+0j)
IIXZYIYIIIIIXXZIYIIIYIII (-0.009994044722676928+0j)
IYYXIIIIIIIIXYZIYIIIXZZI (-0.009576976307826564+0j)
IXYYIIIIIIIIXYZIYIIIXZZI (0.009576976307826564+0j)
IYYXIIIIIIIIXXZIYIIIYIII (0.009576976307826564+0j)
IXYYIIIIIIIIXXZIYIIIYIII (-0.009576976307826564+0j)
ZIXZZIIIIIIIXYZIYIIIXZZI (-0.008875244053079616+0j)
IZXIIIIIIIIIXYZIYIIIXZZI (0.008875244053079616+0j)
ZIXZZIIIIIIIXXZIYIIIYIII (0.008875244053079616+0j)
IZXIIIIIIIIIXXZIYIIIYIII (-0.008875244053079616+0j)
IIIIIIIIIIZXYIIIYIIIXZZI (0.0009794053630319199+0j)
IIIIIIIIIIIXYIIIYIIIXZZI (-0.0009794053630319199+0j)
IIIIIIIIIIZXXZZIYIIIYIII (-0.0009794053630319199+0j)
IIIIIIIIIIIXXZZIYIIIYIII (0.0009794053630319199+0j)
XIIIXIXYYIXXXIIIXIIIXZZI (-0.00019760814799263266+0j)
XIIIXIXXYIXYXIIIXIIIXZZI (0.00019760814799263266+0j)
XIIIXIXYYIXXYZZIXIIIYIII (-0.00019760814799263266+0j)
XIIIXIXXYIXYYZZIXIIIYIII (0.00019760814799263266+0j)
XYZIZIIIYIXXXIIIXIIIXZZI (0.0005204237628956507+0j)
XXZIZIIIYIXYXIIIXIIIXZZI (-0.0005204237628956507+0j)
XYZIZIIIYIXXYZZIXIIIYIII (0.0005204237628956507+0j)
XXZIZIIIYIXYYZZIXIIIYIII (-0.0005204237628956507+0j)
IIIIIIIIIYYZYIIIYIIIXZZI (0.006150788145340135+0j)
IIIIIIIIIXXIYIIIYIIIXZZI (0.006150788145340135+0j)
IIIIIIIIIYYZXZZIYIIIYIII (-0.006150788145340135+0j)
IIIIIIIIIXXIXZZIYIIIYIII (-0.006150788145340135+0j)
XIYIZIIIYIXZXIIIXIIIXZZI (0.009532974241569849+0j)
XIXZZIIIYIYIXIIIXIIIXZZI (-0.009532974241569849+0j)
XIYIZIIIYIXZYZZIXIIIYIII (0.009532974241569849+0j)
XIXZZIIIYIYIYZZIXIIIYIII (-0.009532974241569849+0j)
XIIIXIXYYXZIXIIIXIIIXZZI (-0.0015911679591378393+0j)
XIIIXIXXYYZIXIIIXIIIXZZI (0.0015911679591378393+0j)
XIIIXIXYYXZIYZZIXIIIYIII (-0.0015911679591378393+0j)
XIIIXIXXYYZIYZZIXIIIYIII (0.0015911679591378393+0j)
XYZIZIIIYXZIXIIIXIIIXZZI (-0.009855111940001672+0j)
XXZIZIIIYYZIXIIIXIIIXZZI (0.009855111940001672+0j)
XYZIZIIIYXZIYZZIXIIIYIII (-0.009855111940001672+0j)
XXZIZIIIYYZIYZZIXIIIYIII (0.009855111940001672+0j)
XIIIXIYIYZZIXIIIXIIIXZZI (-0.005131710739664018+0j)
XIIIXIXZXIIIYIIIYIIIXZZI (0.005131710739664018+0j)
XIIIXIYIYZZIYZZIXIIIYIII (-0.005131710739664018+0j)
XIIIXIXZXIIIXZZIYIIIYIII (-0.005131710739664018+0j)
YIIIIIIIYZZIXIIIXIIIXZZI (-0.0137170779831088+0j)
XZZIZIIIXIIIYIIIYIIIXZZI (0.0137170779831088+0j)
YIIIIIIIYZZIYZZIXIIIYIII (-0.0137170779831088+0j)
XZZIZIIIXIIIXZZIYIIIYIII (-0.0137170779831088+0j)
IIYIYIXXIIIIYIIIYIIIXZZI (-0.004395538330338512+0j)
IIXZYIXYIIIIYIIIYIIIXZZI (0.004395538330338512+0j)
IIYIYIXXIIIIXZZIYIIIYIII (0.004395538330338512+0j)
IIXZYIXYIIIIXZZIYIIIYIII (-0.004395538330338512+0j)
IIXYYIXZIIIIYIIIYIIIXZZI (0.011465400816875788+0j)
IIXXYIYIIIIIYIIIYIIIXZZI (-0.011465400816875788+0j)
IIXYYIXZIIIIXZZIYIIIYIII (-0.011465400816875788+0j)
IIXXYIYIIIIIXZZIYIIIYIII (0.011465400816875788+0j)
IIIIZXZIIIIIYIIIYIIIXZZI (-0.013330936084359899+0j)
IIIIIXIIIIIIYIIIYIIIXZZI (0.013330936084359899+0j)
IIIIZXZIIIIIXZZIYIIIYIII (0.013330936084359899+0j)
IIIIIXIIIIIIXZZIYIIIYIII (-0.013330936084359899+0j)
ZIXXZIIIIIIIYIIIYIIIXZZI (-0.0075074675597249585+0j)
IZYYIIIIIIIIYIIIYIIIXZZI (-0.0075074675597249585+0j)
ZIXXZIIIIIIIXZZIYIIIYIII (0.0075074675597249585+0j)
IZYYIIIIIIIIXZZIYIIIYIII (0.0075074675597249585+0j)
IYYZIIIIIIIIYIIIYIIIXZZI (-0.002003959567311108+0j)
IXXIIIIIIIIIYIIIYIIIXZZI (-0.002003959567311108+0j)
IYYZIIIIIIIIXZZIYIIIYIII (0.002003959567311108+0j)
IXXIIIIIIIIIXZZIYIIIYIII (0.002003959567311108+0j)
IIIIIIIIIIIIIIIIIIZIIIII (0.08652390099457435+0j)
IIIIIIIIIIIIYIIIYIXIZIII (-0.02030387368956808+0j)
IIIIIIIIIIIIXZZIYIYZZIII (0.02030387368956808+0j)
IIIIIIIIIIIIIIIIIZIZIIII (0.10583412140996405+0j)
IIIIIIIIIIIIIIIIZZZZZIII (0.10821276136790225+0j)
IIIIIIIIIIIIIIIZIIIZIIII (0.09071037141401504+0j)
IIIIIIIIIIIIIIZZIIIZIIII (0.08966274848951307+0j)
IIIIIIIIIIIIIZIIIIIZIIII (0.08611303304981541+0j)
IIIIIIIIIIIIZZZIIIIZIIII (0.10136801190714037+0j)
IIIIIIIIIIIZIIIIIIIZIIII (0.13948032591102738+0j)
IIIIIIIIIYYXIIIIIIIZIIII (0.0012854164427373246+0j)
IIIIIIIIIXYYIIIIIIIZIIII (-0.0012854164427373246+0j)
XIYIZIIIYIXXZIIIZIIZIIII (-0.0011685219845289766+0j)
XIXZZIIIYIXYZIIIZIIZIIII (0.0011685219845289766+0j)
IIIIIIIIIIZZIIIIIIIZIIII (0.11599653175111657+0j)
XIIIXIXYYIXZZIIIZIIZIIII (0.01636143160047043+0j)
XIIIXIXXYIYIZIIIZIIZIIII (-0.01636143160047043+0j)
XYZIZIIIYIXZZIIIZIIZIIII (-0.006786827905994936+0j)
XXZIZIIIYIYIZIIIZIIZIIII (0.006786827905994936+0j)
IIIIIIIIIZIIIIIIIIIZIIII (0.10040829328656248+0j)
XIYIZIIIYXZIZIIIZIIZIIII (0.014759890963720082+0j)
XIXZZIIIYYZIZIIIZIIZIIII (-0.014759890963720082+0j)
IIIIIIIIZZZIZIIIZIIZIIII (0.1003914175143687+0j)
XIXYZIIIYZZIZIIIZIIZIIII (-0.01685741693814895+0j)
XIXXZIIIXIIIIIIIIIIZIIII (-0.01685741693814895+0j)
IIIIIIIZIIIIIIIIIIIZIIII (0.11548619982912983+0j)
IYZIYIXXIIIIIIIIIIIZIIII (-0.014710928739744087+0j)
IXZIYIXYIIIIIIIIIIIZIIII (0.014710928739744087+0j)
IIIIIIZZIIIIIIIIIIIZIIII (0.096434573419957+0j)
ZIIIXIXZIIIIIIIIIIIZIIII (0.016681431111235167+0j)
IZZIYIYIIIIIIIIIIIIZIIII (0.016681431111235167+0j)
IIIIIZIIIIIIIIIIIIIZIIII (0.11105553973173572+0j)
IIIIZZZIIIIIIIIIIIIZIIII (0.11155746365145774+0j)
IIIZIIIIIIIIIIIIIIIZIIII (0.10079958915931019+0j)
IIZZIIIIIIIIIIIIIIIZIIII (0.09705662593065369+0j)
IZIIIIIIIIIIIIIIIIIZIIII (0.0974862594371085+0j)
ZZZIZIIIIIIIIIIIIIIZIIII (0.10610536075126843+0j)
IIIIIIIIIIIIXYZIYIYYZIII (0.011787793793839277+0j)
IIIIIIIIIIIIXXZIYIYXZIII (0.011787793793839277+0j)
IIIIIIIIIIIIIIZXIIZXIIII (-0.004658188949315918+0j)
IIIIIIIIIIIIIIIXIIZXIIII (0.0036258702865154206+0j)
IIIIIIIIIIIIIIZYIIIYIIII (-0.0010323186628004974+0j)
IIIIIIIIIIIIIIIYIIZYIIII (-0.0010323186628004974+0j)
IIIIIIIIIIIIIIZXIIIXIIII (0.0036258702865154206+0j)
IIIIIIIIIIIIIIIXIIIXIIII (-0.004658188949315918+0j)
IIIIIIIIIIIIZXZIIIZXIIII (0.00426880826498542+0j)
IIIIIIIIIIIIIXIIIIZXIIII (1.1750533772454663e-05+0j)
IIIIIIIIIIIIZYZIIIIYIIII (0.004280558798757875+0j)
IIIIIIIIIIIIIYIIIIZYIIII (0.004280558798757875+0j)
IIIIIIIIIIIIZXZIIIIXIIII (1.1750533772454663e-05+0j)
IIIIIIIIIIIIIXIIIIIXIIII (0.00426880826498542+0j)
IIIIIIIIZIXXZIIIZIZXIIII (0.0005799536656944669+0j)
IIIIIIIIIZYYIIIIIIZXIIII (0.0005799536656944669+0j)
IIIIIIIIZIXXZIIIZIIXIIII (-0.0005799536656944669+0j)
IIIIIIIIIZYYIIIIIIIXIIII (-0.0005799536656944669+0j)
XIXYZIIIYIXXZIIIZIZXIIII (-0.0006329517598304153+0j)
XIXXZIIIYIXYZIIIZIZXIIII (0.0006329517598304153+0j)
XIXYZIIIYIXXZIIIZIIXIIII (0.0006329517598304153+0j)
XIXXZIIIYIXYZIIIZIIXIIII (-0.0006329517598304153+0j)
XIIIXIYIYIXZZIIIZIZXIIII (-0.008080489946345996+0j)
XIIIXIXZYIYIZIIIZIZXIIII (0.008080489946345996+0j)
XIIIXIYIYIXZZIIIZIIXIIII (0.008080489946345996+0j)
XIIIXIXZYIYIZIIIZIIXIIII (-0.008080489946345996+0j)
YIIIIIIIYIXZZIIIZIZXIIII (0.0009911180160198008+0j)
XZZIZIIIYIYIZIIIZIZXIIII (-0.0009911180160198008+0j)
YIIIIIIIYIXZZIIIZIIXIIII (-0.0009911180160198008+0j)
XZZIZIIIYIYIZIIIZIIXIIII (0.0009911180160198008+0j)
IIIIIIIIZXZIZIIIZIZXIIII (0.011197421327429957+0j)
IIIIIIIIIXIIIIIIIIZXIIII (-0.011197421327429957+0j)
IIIIIIIIZXZIZIIIZIIXIIII (-0.011197421327429957+0j)
IIIIIIIIIXIIIIIIIIIXIIII (0.011197421327429957+0j)
XIXYZIIIYXZIZIIIZIZXIIII (0.005720253877661743+0j)
XIXXZIIIYYZIZIIIZIZXIIII (-0.005720253877661743+0j)
XIXYZIIIYXZIZIIIZIIXIIII (-0.005720253877661743+0j)
XIXXZIIIYYZIZIIIZIIXIIII (0.005720253877661743+0j)
XIYIZIIIYZZIZIIIZIZXIIII (-0.006186704120638318+0j)
XIXZZIIIXIIIIIIIIIZXIIII (-0.006186704120638318+0j)
XIYIZIIIYZZIZIIIZIIXIIII (0.006186704120638318+0j)
XIXZZIIIXIIIIIIIIIIXIIII (0.006186704120638318+0j)
IIIIIIZXIIIIIIIIIIZXIIII (0.009910672425382634+0j)
IIIIIIIXIIIIIIIIIIZXIIII (-0.009910672425382634+0j)
IIIIIIZXIIIIIIIIIIIXIIII (-0.009910672425382634+0j)
IIIIIIIXIIIIIIIIIIIXIIII (0.009910672425382634+0j)
ZIIIXIXXIIIIIIIIIIZXIIII (-0.0036224425783329124+0j)
IZZIYIXYIIIIIIIIIIZXIIII (-0.0036224425783329124+0j)
ZIIIXIXXIIIIIIIIIIIXIIII (0.0036224425783329124+0j)
IZZIYIXYIIIIIIIIIIIXIIII (0.0036224425783329124+0j)
IYZIYIXZIIIIIIIIIIZXIIII (0.0072896790209673315+0j)
IXZIYIYIIIIIIIIIIIZXIIII (-0.0072896790209673315+0j)
IYZIYIXZIIIIIIIIIIIXIIII (-0.0072896790209673315+0j)
IXZIYIYIIIIIIIIIIIIXIIII (0.0072896790209673315+0j)
IIZXIIIIIIIIIIIIIIZXIIII (-0.011204646751291906+0j)
IIIXIIIIIIIIIIIIIIZXIIII (0.011204646751291906+0j)
IIZXIIIIIIIIIIIIIIIXIIII (0.011204646751291906+0j)
IIIXIIIIIIIIIIIIIIIXIIII (-0.011204646751291906+0j)
ZXZIZIIIIIIIIIIIIIZXIIII (0.010207757710388864+0j)
IXIIIIIIIIIIIIIIIIZXIIII (-0.010207757710388864+0j)
ZXZIZIIIIIIIIIIIIIIXIIII (-0.010207757710388864+0j)
IXIIIIIIIIIIIIIIIIIXIIII (0.010207757710388864+0j)
IIIIIIIIIIIIXYZIYZXXZIII (-0.015030214954863043+0j)
IIIIIIIIIIIIXXZIYZXYZIII (0.015030214954863043+0j)
IIIIIIIIIIIIXIYIYXXXZIII (-0.0012913769968030471+0j)
IIIIIIIIIIIIXIXZXYYXIIII (0.0022011474784633498+0j)
IIIIIIIIIIIIXIYIXXYXIIII (-0.0009097704816603027+0j)
IIIIIIIIIIIIXIXZYXXYZIII (-0.0009097704816603027+0j)
IIIIIIIIIIIIXIYIYYXYZIII (-0.0022011474784633498+0j)
IIIIIIIIIIIIXIXZXXYYIIII (-0.0012913769968030471+0j)
XIIIYIIIYIXXZIIIZYYXIIII (-0.0005336993073389775+0j)
XIIIXZZIYIXYZIIIZYYXIIII (0.0005336993073389775+0j)
XIIIYIIIYIXXZIIIZXYYIIII (0.0005336993073389775+0j)
XIIIXZZIYIXYZIIIZXYYIIII (-0.0005336993073389775+0j)
XIIIXYZIYIXZZIIIZYYXIIII (-0.0044995461338991636+0j)
XIIIXXZIYIYIZIIIZYYXIIII (0.0044995461338991636+0j)
XIIIXYZIYIXZZIIIZXYYIIII (0.0044995461338991636+0j)
XIIIXXZIYIYIZIIIZXYYIIII (-0.0044995461338991636+0j)
XIIIYIIIYXZIZIIIZYYXIIII (0.000649341504485077+0j)
XIIIXZZIYYZIZIIIZYYXIIII (-0.000649341504485077+0j)
XIIIYIIIYXZIZIIIZXYYIIII (-0.000649341504485077+0j)
XIIIXZZIYYZIZIIIZXYYIIII (0.000649341504485077+0j)
IIIIIYYXIIIIIIIIIYYXIIII (0.005221418321771671+0j)
IIIIIXYYIIIIIIIIIYYXIIII (-0.005221418321771671+0j)
IIIIIYYXIIIIIIIIIXYYIIII (-0.005221418321771671+0j)
IIIIIXYYIIIIIIIIIXYYIIII (0.005221418321771671+0j)
IYZIYXZIIIIIIIIIIYYXIIII (0.0008309764143493643+0j)
IXZIYYZIIIIIIIIIIYYXIIII (-0.0008309764143493643+0j)
IYZIYXZIIIIIIIIIIXYYIIII (-0.0008309764143493643+0j)
IXZIYYZIIIIIIIIIIXYYIIII (0.0008309764143493643+0j)
IIYIYZZIIIIIIIIIIYYXIIII (0.0007751714465858855+0j)
IIXZXIIIIIIIIIIIIYYXIIII (0.0007751714465858855+0j)
IIYIYZZIIIIIIIIIIXYYIIII (-0.0007751714465858855+0j)
IIXZXIIIIIIIIIIIIXYYIIII (-0.0007751714465858855+0j)
IIIIIIIIIIIIXYZIXZYXIIII (-0.014900989636847085+0j)
IIIIIIIIIIIIXXZIXZYYIIII (0.014900989636847085+0j)
XIIIXYZIYIXXZIIIIIXXZIII (-0.00017037339586414388+0j)
XIIIXXZIYIXYZIIIIIXXZIII (0.00017037339586414388+0j)
XIIIXYZIYIXXZIIIZZYYIIII (-0.00017037339586414388+0j)
XIIIXXZIYIXYZIIIZZYYIIII (0.00017037339586414388+0j)
XIIIYIIIYIXZZIIIIIXXZIII (-0.0012843960498023358+0j)
XIIIXZZIYIYIZIIIIIXXZIII (0.0012843960498023358+0j)
XIIIYIIIYIXZZIIIZZYYIIII (-0.0012843960498023358+0j)
XIIIXZZIYIYIZIIIZZYYIIII (0.0012843960498023358+0j)
XIIIXYZIYXZIZIIIIIXXZIII (-0.002604874322385795+0j)
XIIIXXZIYYZIZIIIIIXXZIII (0.002604874322385795+0j)
XIIIXYZIYXZIZIIIZZYYIIII (-0.002604874322385795+0j)
XIIIXXZIYYZIZIIIZZYYIIII (0.002604874322385795+0j)
IIIIZIXXIIIIIIIIZIXXZIII (0.0033447022835554857+0j)
IIIIIZYYIIIIIIIIZIXXZIII (0.0033447022835554857+0j)
IIIIZIXXIIIIIIIIIZYYIIII (0.0033447022835554857+0j)
IIIIIZYYIIIIIIIIIZYYIIII (0.0033447022835554857+0j)
IIYIYXZIIIIIIIIIZIXXZIII (0.001425976031877464+0j)
IIXZYYZIIIIIIIIIZIXXZIII (-0.001425976031877464+0j)
IIYIYXZIIIIIIIIIIZYYIIII (0.001425976031877464+0j)
IIXZYYZIIIIIIIIIIZYYIIII (-0.001425976031877464+0j)
IYZIYZZIIIIIIIIIZIXXZIII (-0.0027309143688727597+0j)
IXZIXIIIIIIIIIIIZIXXZIII (-0.0027309143688727597+0j)
IYZIYZZIIIIIIIIIIZYYIIII (-0.0027309143688727597+0j)
IXZIXIIIIIIIIIIIIZYYIIII (-0.0027309143688727597+0j)
IIIIIIIIIIIIXYZZYIXXZIII (-0.015360134766032797+0j)
IIIIIIIIIIIIXXZZYIXYZIII (0.015360134766032797+0j)
IIIIIIIIIIIIYIIXYIXXZIII (-0.00456015089885027+0j)
IIIIIIIIIIIIXZIYYIXXZIII (0.005115734404673607+0j)
IIIIIIIIIIIIYIZXYIXXZIII (-0.0005555835058233382+0j)
IIIIIIIIIIIIXZZXYIXYZIII (-0.0005555835058233382+0j)
IIIIIIIIIIIIYIIYYIXYZIII (-0.005115734404673607+0j)
IIIIIIIIIIIIXZIXYIXYZIII (-0.00456015089885027+0j)
XIIIXIYIYIXXYIXYXIXXZIII (-0.0008192770673920428+0j)
XIIIXIXZYIXYYIXYXIXXZIII (0.0008192770673920428+0j)
XIIIXIYIYIXXYIXXXIXYZIII (0.0008192770673920428+0j)
XIIIXIXZYIXYYIXXXIXYZIII (-0.0008192770673920428+0j)
YIIIIIIIYIXXYIXYXIXXZIII (-0.0015113449214097107+0j)
XZZIZIIIYIXYYIXYXIXXZIII (0.0015113449214097107+0j)
YIIIIIIIYIXXYIXXXIXYZIII (0.0015113449214097107+0j)
XZZIZIIIYIXYYIXXXIXYZIII (-0.0015113449214097107+0j)
IIIIIIIIZIXZYIXYXIXXZIII (0.011310282060828057+0j)
IIIIIIIIIZXIXIXYYIXXZIII (-0.011310282060828057+0j)
IIIIIIIIZIXZYIXXXIXYZIII (-0.011310282060828057+0j)
IIIIIIIIIZXIXIXXYIXYZIII (0.011310282060828057+0j)
XIXYZIIIYIXZYIXYXIXXZIII (-0.0025081525652315834+0j)
XIXXZIIIYIYIYIXYXIXXZIII (0.0025081525652315834+0j)
XIXYZIIIYIXZYIXXXIXYZIII (0.0025081525652315834+0j)
XIXXZIIIYIYIYIXXXIXYZIII (-0.0025081525652315834+0j)
XIIIXIYIYXZIYIXYXIXXZIII (-0.011552459783111518+0j)
XIIIXIXZYYZIYIXYXIXXZIII (0.011552459783111518+0j)
XIIIXIYIYXZIYIXXXIXYZIII (0.011552459783111518+0j)
XIIIXIXZYYZIYIXXXIXYZIII (-0.011552459783111518+0j)
YIIIIIIIYXZIYIXYXIXXZIII (0.0027821834439067275+0j)
XZZIZIIIYYZIYIXYXIXXZIII (-0.0027821834439067275+0j)
YIIIIIIIYXZIYIXXXIXYZIII (-0.0027821834439067275+0j)
XZZIZIIIYYZIYIXXXIXYZIII (0.0027821834439067275+0j)
XIIIXIXYYZZIYIXYXIXXZIII (-0.0037531286937566993+0j)
XIIIXIXXXIIIXIXYYIXXZIII (-0.0037531286937566993+0j)
XIIIXIXYYZZIYIXXXIXYZIII (0.0037531286937566993+0j)
XIIIXIXXXIIIXIXXYIXYZIII (0.0037531286937566993+0j)
XYZIZIIIYZZIYIXYXIXXZIII (0.007365901507019422+0j)
XXZIZIIIXIIIXIXYYIXXZIII (0.007365901507019422+0j)
XYZIZIIIYZZIYIXXXIXYZIII (-0.007365901507019422+0j)
XXZIZIIIXIIIXIXXYIXYZIII (-0.007365901507019422+0j)
IIXYYIXXIIIIXIXYYIXXZIII (0.010089217745295143+0j)
IIXXYIXYIIIIXIXYYIXXZIII (-0.010089217745295143+0j)
IIXYYIXXIIIIXIXXYIXYZIII (-0.010089217745295143+0j)
IIXXYIXYIIIIXIXXYIXYZIII (0.010089217745295143+0j)
IIYIYIXZIIIIXIXYYIXXZIII (-0.007578776464776489+0j)
IIXZYIYIIIIIXIXYYIXXZIII (0.007578776464776489+0j)
IIYIYIXZIIIIXIXXYIXYZIII (0.007578776464776489+0j)
IIXZYIYIIIIIXIXXYIXYZIII (-0.007578776464776489+0j)
IYYXIIIIIIIIXIXYYIXXZIII (-0.009969112672277292+0j)
IXYYIIIIIIIIXIXYYIXXZIII (0.009969112672277292+0j)
IYYXIIIIIIIIXIXXYIXYZIII (0.009969112672277292+0j)
IXYYIIIIIIIIXIXXYIXYZIII (-0.009969112672277292+0j)
ZIXZZIIIIIIIXIXYYIXXZIII (-0.011646895104177803+0j)
IZXIIIIIIIIIXIXYYIXXZIII (0.011646895104177803+0j)
ZIXZZIIIIIIIXIXXYIXYZIII (0.011646895104177803+0j)
IZXIIIIIIIIIXIXXYIXYZIII (-0.011646895104177803+0j)
IIIIIIIIIIIIXYIZYIXXZIII (-0.011328133195721703+0j)
IIIIIIIIIIIIXXIZYIXYZIII (0.011328133195721703+0j)
IIIIIIIIIIZXXIYIYIXXZIII (-0.00043967221344023836+0j)
IIIIIIIIIIIXXIYIYIXXZIII (0.00043967221344023836+0j)
IIIIIIIIIIZXXIXZYIXYZIII (0.00043967221344023836+0j)
IIIIIIIIIIIXXIXZYIXYZIII (-0.00043967221344023836+0j)
XIIIXIXYYIXXYIYIXIXXZIII (-0.0012178805594916557+0j)
XIIIXIXXYIXYYIYIXIXXZIII (0.0012178805594916557+0j)
XIIIXIXYYIXXYIXZXIXYZIII (0.0012178805594916557+0j)
XIIIXIXXYIXYYIXZXIXYZIII (-0.0012178805594916557+0j)
XYZIZIIIYIXXYIYIXIXXZIII (-0.0008914700410183995+0j)
XXZIZIIIYIXYYIYIXIXXZIII (0.0008914700410183995+0j)
XYZIZIIIYIXXYIXZXIXYZIII (0.0008914700410183995+0j)
XXZIZIIIYIXYYIXZXIXYZIII (-0.0008914700410183995+0j)
IIIIIIIIIYYZXIYIYIXXZIII (0.0018458524627884+0j)
IIIIIIIIIXXIXIYIYIXXZIII (0.0018458524627884+0j)
IIIIIIIIIYYZXIXZYIXYZIII (-0.0018458524627884+0j)
IIIIIIIIIXXIXIXZYIXYZIII (-0.0018458524627884+0j)
XIYIZIIIYIXZYIYIXIXXZIII (0.0036616041078724464+0j)
XIXZZIIIYIYIYIYIXIXXZIII (-0.0036616041078724464+0j)
XIYIZIIIYIXZYIXZXIXYZIII (-0.0036616041078724464+0j)
XIXZZIIIYIYIYIXZXIXYZIII (0.0036616041078724464+0j)
XIIIXIXYYXZIYIYIXIXXZIII (0.001238953881856219+0j)
XIIIXIXXYYZIYIYIXIXXZIII (-0.001238953881856219+0j)
XIIIXIXYYXZIYIXZXIXYZIII (-0.001238953881856219+0j)
XIIIXIXXYYZIYIXZXIXYZIII (0.001238953881856219+0j)
XYZIZIIIYXZIYIYIXIXXZIII (-0.008232048622745082+0j)
XXZIZIIIYYZIYIYIXIXXZIII (0.008232048622745082+0j)
XYZIZIIIYXZIYIXZXIXYZIII (0.008232048622745082+0j)
XXZIZIIIYYZIYIXZXIXYZIII (-0.008232048622745082+0j)
XIIIXIYIYZZIYIYIXIXXZIII (0.006223445840382486+0j)
XIIIXIXZXIIIXIYIYIXXZIII (0.006223445840382486+0j)
XIIIXIYIYZZIYIXZXIXYZIII (-0.006223445840382486+0j)
XIIIXIXZXIIIXIXZYIXYZIII (-0.006223445840382486+0j)
YIIIIIIIYZZIYIYIXIXXZIII (-0.004395538330338512+0j)
XZZIZIIIXIIIXIYIYIXXZIII (-0.004395538330338512+0j)
YIIIIIIIYZZIYIXZXIXYZIII (0.004395538330338512+0j)
XZZIZIIIXIIIXIXZYIXYZIII (0.004395538330338512+0j)
IIYIYIXXIIIIXIYIYIXXZIII (0.007393877441140623+0j)
IIXZYIXYIIIIXIYIYIXXZIII (-0.007393877441140623+0j)
IIYIYIXXIIIIXIXZYIXYZIII (-0.007393877441140623+0j)
IIXZYIXYIIIIXIXZYIXYZIII (0.007393877441140623+0j)
IIXYYIXZIIIIXIYIYIXXZIII (-0.00654645780197599+0j)
IIXXYIYIIIIIXIYIYIXXZIII (0.00654645780197599+0j)
IIXYYIXZIIIIXIXZYIXYZIII (0.00654645780197599+0j)
IIXXYIYIIIIIXIXZYIXYZIII (-0.00654645780197599+0j)
IIIIZXZIIIIIXIYIYIXXZIII (0.0005162055502171614+0j)
IIIIIXIIIIIIXIYIYIXXZIII (-0.0005162055502171614+0j)
IIIIZXZIIIIIXIXZYIXYZIII (-0.0005162055502171614+0j)
IIIIIXIIIIIIXIXZYIXYZIII (0.0005162055502171614+0j)
ZIXXZIIIIIIIXIYIYIXXZIII (-0.006531160699504197+0j)
IZYYIIIIIIIIXIYIYIXXZIII (-0.006531160699504197+0j)
ZIXXZIIIIIIIXIXZYIXYZIII (0.006531160699504197+0j)
IZYYIIIIIIIIXIXZYIXYZIII (0.006531160699504197+0j)
IYYZIIIIIIIIXIYIYIXXZIII (-0.004555042575591559+0j)
IXXIIIIIIIIIXIYIYIXXZIII (-0.004555042575591559+0j)
IYYZIIIIIIIIXIXZYIXYZIII (0.004555042575591559+0j)
IXXIIIIIIIIIXIXZYIXYZIII (0.004555042575591559+0j)
IIIIIIIIIIIIYXIIYIXXZIII (-0.014587675424067359+0j)
IIIIIIIIIIIIYYIIYIXYZIII (-0.014587675424067359+0j)
IIIIIIIIIIIZXYZIYIXXZIII (-0.03048671279693151+0j)
IIIIIIIIIIIZXXZIYIXYZIII (0.03048671279693151+0j)
IIIIIIIIIYYXXYZIYIXXZIII (-0.00015921050547507753+0j)
IIIIIIIIIXYYXYZIYIXXZIII (0.00015921050547507753+0j)
IIIIIIIIIYYXXXZIYIXYZIII (0.00015921050547507753+0j)
